,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
39,40,CH,63472,A,"1,0",0,,"1,4864","0,78624","0,0483",Branco,PROVA BRANCA REGULAR,,,2014,"578,6387920379639",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63472.png,"QUESTÃO 40

Alguns dos desejos são naturais e necessários;
outros, naturais e não necessários; outros, nem
naturais nem necessários, mas nascidos de vã opinião.
Os desejos que não nos trazem dor se não satisfeitos
não são necessários, mas o seu impulso pode ser
facilmente desfeito, quando é difícil obter sua satisfação
ou parecem geradores de dano.
EPIGURO DE SAMOS Doutirias prcipais.: SANSON, E Textos de los
Rio de Jam: Eu, 1674

No fragmento da obra filosófica de Epicuro, o homem tem
como fim

alcançar o prazer moderado e a felicidade.

valorizar os deveres e as obrigações sociais.

aceitar o sofrimento e o rigorismo da vida com
resignação

refletir sobre os valores e as normas dadas pela
divindade.

defender a indiferença e a impossibilidade de se
atingir o saber

o o 000
","667,7000522613525","884,4034671783447","52,42",0,1
1048,57,CH,41694,D,"2,0",0,,"1,85369","1,36339","0,17458",AMARELA,PROVA AMARELA PPL,,"0,0",2016,"636,340856552124",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41694.png,"QUESTÃO 12

A história não corresponde exatamente ao que foi
realmente conservado na memória popular, mas âquilo
que foi selecionado, escrito, descrito, popularizado e
institucionalizado por quem estava encarregado de fazê-lo.
Os historiadores, sejam quais forem seus objetivos, estão
envolvidos nesse processo, uma vez que eles contribuem,
conscientemente ou não, para a criação, demolição e
reestruturação de imagens do passado que pertencem
não só ao mundo da investigação especializada, mas
também à esfera pública na qual o homem atua como
ser político.

HOBSBAM, E: RANGER. T Ainvenção das traições.

Fio de Janio: Paz e Tera, 1684 (adapiad)

Uma vez que a neutralidade é inalcançável na atividade
mencionada, é tarefa do profissional envolvido

criticar as ideias dominantes.

respeitar os interesses sociais.

defender os direitos das minorias.
explicitar as escolhas realizadas.
satisfazer os financiadores de pesquisas.

0000
","697,8433132171631","873,762845993042","58,73",0,1
1818,72,CH,88500,E,"3,0",0,,"4,28812","1,05968","0,13154",Amarela,PROVA AMARELA REGULAR,,"0,0",2018,"605,971097946167",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/88500.png,"QUESTÃO 72

Outra importante manifestação das crenças
é tradições africanas na Colônia eram os objetos
conhecidos como “bolsas de mandinga”. A insegurança
tanto fsica como espiritual gerava uma necessidade
generalizada de proteção: das catástrofes da natureza,
das doenças, da má sorte, da violência dos núcleos
urbanos, dos roubos, das brigas, dos malefícios de
feiticeiros ete. Também para trazer sort, dinheiro e até.
atrair mulheres, o costume era corrente nas primeiras
décadas do século XVII, envolvendo não apenas
escravos, mas também homens brancos.
AA) fes FURO Hat s pc
A prática históico-cutural de matriz africana descrta no
texto representava um(a)
O expressão do valor das festividades da população
pobre
O ferramenta para submeter os cativos 0 trabalho
forçado.
O estratégia de subversão do poder da monarquia
portuguesa.
O elemento de conversão dos escravos ao catolicismo
O instrumento para minimizar o sentimento de
desamparo social.
","634,1068744659424","709,8023891448975","56,58",0,1
2216,86,CH,87503,E,"4,0",0,,"2,16789","0,98395","0,181",Amarela,PROVA AMARELA PPL,,"0,0",2019,"598,3941555023193",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/87503.png,"Questão 86
TEXTO!

Eu queria movimento e não um curso calmo da
existência. Queria excitação e perigo e a oportunidade
de sacrificar-me por meu amor. Sentia em mim uma
superabundância de energia que não encontrava
escoadouro em nossa vida.

TOLSTOI, L. Felicidade familiar. Apud KRAKAUER, 4
Na natureza solvagem. São Paulo Cia das Letras, 1998.
TEXTO

Meu lema me obrigava, mais que a qualquer outro
homem, a um enunciado mais exato da verdade; não
sendo suficiente que eu lhe sacrificasse em tudo o
meu interesse e as minhas simpatias, era preciso
sacrificar-lhe também minha fraqueza e minha
natureza tímida. Era preciso ter a coragem e a força
de ser sempre verdadeiro em todas as ocasiões.

ROUSSEAU, 1. Os devaneios do caminhante solitário.

Porto Alegre: L&PM, 2006.

Os textos de Tolstói e Rousseau retratam ideais da
existência humana e defendem uma experiência

O lógico-racional, focada na objetividade, clareza e
imparcialidade.

O místico-religiosa, ligada à sacralidade, elevação e
espiritualidade.

O sociopolítica, constituída por — integração,
solidariedade e organização.

O naturalista-científica, marcada pela experimentação,
análise e explicação.

O estético-romântica, caracterizada por sinceridade,

vitalidade e impulsividade.
","650,5100727081299","801,0451793670654","59,05",0,1
3088,56,CH,118059,A,"5,0",0,,"3,04986","0,83936","0,23466",AMARELA,PROVA AMARELA REGULAR,,,2021,"583,9316844940186",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/118059.png,"Questão 56
No seio de diversos povos africanos, nomeadamente
no antigo Reino do Congo, existem testemunhos gráficos
de que a escrita tomava várias formas. Exemplo disso são
as tampas de panela esculpidas em baixo-relevo do povo
Woyo (região de Cabinda), com cenas e provérbios do
cotidiano, desenhos na terra ou areia, imagens gravadas
ou inscritas nos bastões de chefe ou em pedras sagradas,
mas, sobretudo, movimentos do corpo humano inscritos.
num gestual familiar. Entre os Woyo existia o costume
de os pais oferecerem aos filhos testos ou tampas de
panelas entalhados, transmitindo uma espécie de recado,
com signos codificados que traduziam orientações para
conseguir uma boa relação conjugal, ter sensatez na
escolha do cônjuge e estar alerta para as dificuldades do
casamento.
ROORIGUES MR ML: TAVARES A CP Sgundades mangas do umatóu

cem erauras emo do ambamanto a acameno em Caem via
Ae do Museu Pauta 2 atoa. 2077 topo)

Para o povo Woyo, os artefatos culturais mencionados no
texto cumprem a função de uma

O pedagogia dos costumes sociais.

O imposição das formas de comunicação.

O desvalorização dos comportamentos da juventude.
O destiuição dos valores do matrimónio.

O etnografia das celebrações religiosas.
","618,0064678192139","725,7311344146729","61,73",0,1
1648,45,CH,54674,A,"6,0",0,,"1,67591","2,04657","0,23092",AMARELA,PROVA AMARELA PPL,,"0,0",2017,"704,6692371368408",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/54674.png,"QUESTÃO 90 SEE EEE —

Projeção cartográfica é uma transformação que faz corresponder, a cada ponto da superfície terrestre,

um ponto no plano

GASPAR, 1 A Cartas e projeções cartográficas. Lisboa: Lidel, 2005.

As relações do plano de projeção à superfície projetada mostradas nas figuras são identificadas, respectivamente, em:

","767,0538425445557","962,9957675933838","61,55",0,1
1041,54,CH,63689,C,"7,0",0,,"2,05773","1,1812","0,20371",AMARELA,PROVA AMARELA PPL,,"0,0",2016,"618,1304454803467",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63689.png,"QUESTÃO 09

ALINGHORTH LG Outubro de 1962 Disponível em: wmaligcorg uk Acesso em: Ba 2016.

A charge faz alusão à intensa rivalidade entre as duas
maiores potências do século XX. O momento mais tenso
dessa disputa foi provocado pela

ampliação da Guerra do Vietnã

construção do muro de Berlim.

instalação de mísseis em Cuba.

eclosão da Guerra dos Sete Dias.

invasão do território do Afeganistão.

0000
","671,2071895599365","830,2347660064697","60,19",0,1
3531,70,CH,97405,A,"8,0",0,,"2,26097","0,38595","0,21827",AMARELA,PROVA AMARELA PPL,,"0,0",2022,"538,5868549346924",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/97405.png,"QUESTÃO 70 000009000000000000000000

O volume anual de população que se incorporará à
faixa de 65 anos e mais aumentará continuamente. Em
média, anualmente, o acréscimo será, talvez, de mais
de 550 mil idosos, no primeiro quartel do século XXI, e
superará a casa de um milhão, entre 2025 e 2050.

CARVALHO, 1 A M; RODRIGUEZ. WRONG, L A transição da está etária da população
braslerana primera metade do sécio JO. Cad Saúde Pública n 3, mar 2008(ataptaço)

A dinâmica demográfica descrita resulta no processo de
expansão do(a)

O topo da pirâmide etária.

O taxa de fecundidade anual.

O nível de mortalidade infantil
o
e

índice de desemprego estrutural.
política de controle da natalidade.
","585,8175754547119","730,8166027069092","60,91",0,1
17,18,CH,54534,C,"9,0",0,,"2,85672","1,6576","0,08903",Branco,PROVA BRANCA REGULAR,,,2014,"665,7569408416748",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/54534.png,"QUESTÃO 18 =======>>>>wmmumun

Respeitar a diversidade de circunstâncias entre
as pequenas sociedades locais que constituem uma
mesma nacionalidade, tal deve ser a regra suprema das
leis intemas de cada Estado. As leis municipais seriam
as cartas de cada povoação doadas pela assembleia
provincial, alargadas conforme o seu desenvolvimento,
alteradas segundo os conselhos da experiência. Então,
administrar-se-ia de perto, governar-se-ia de longe, alvo
a que jamais se atingirá de outra sorte

BASTOS, A província (1870). São Pa: Ca. Editora Hina, 807 (adaptado
O discurso do autor, no período do Segundo Reinado no
Brasil, tinha como meta a implantação do

regime monárquico representativo.

sistema educacional democrático.

modelo territorial federalista.

padrão político autoritário.

poder oligárquico regional

voooo
","710,1576328277588","823,3134746551514","54,45",0,1
608,9,CH,15904,A,"10,0",0,,"1,55271","0,11942","0,19389",Amarelo,PROVA AMARELA PPL,,"0,0",2015,"511,92688941955566",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/15904.png,"QUESTÃO 09

0:
NOS RES PR cor!

jar;
RA Cá!

Dipo e uueoeemeratea rg Aoeso em: 2 ces t2

Na imagem, encontram-se referências a um momento de

intensa agitação estudantil no país. Tal mobilização se

explica pela

O divulgação de denúncias de comupção envolvendo o
presidente da República.

O criminaização dos movimentos sociais realizada pelo
Govemo Federal

& adoção do arrocho salarial implementada pelo
Ministério da Fazenda.

O compra de apoio político promovida pelo Poder
Executivo.

O violência da repressão estatal atribuída às Forças

Armadas.
","583,3499431610107","793,8449382781982","59,69",0,1
