,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
1018,42,LC,31106,B,"1,0",0,,"1,31632","-0,22164","0,21467",CINZA,PROVA CINZA PPL,,"0,0",2016,"477,82349586486816",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/31106.png,"QUESTÃO 132

Fraudador é preso por emitir atestados
com erro de português.

Mais um erro de português leva um criminoso às mãos
da polícia. Desde 2003, M.O.P, de 37 anos, administrava
a empresa MM, que falsificava boletins de ocorrência,
rteiras profissionais e atestados de óbito, tudo para
anular multas de trânsito. Amparado pela documentação
fajuta de M.O.P. um motorista poderia alegar às Juntas
Administrativas de Recursos de Infrações que ultrapassou.
o limite de velocidade para levar uma parente que passou
mal é morreu a caminho do hospital

O esquema funcionou até setembro, quando M.O.P.
foi indiciado. Atropelara a gramática. Havia emitido, por
exemplo, um atestado de abril do ano passado em que
estava escrito aneurisma “celebrar” (com Ino lugar de 1) e
“insulficiência” múltipladeórgãos (com um Idesnecessário
em “insuficiência” — além do fato de a expressão médica
adequada ser “falência múltipla de órgãos”)

M.O.P. foi indiciado pela 2º Delegacia de Divisão de
Crimes de Trânsito. Na casa do acusado, em São Miguel
Paulista, zona leste de São Paulo, a polícia encontrou um
computador com modelos de documentos,

Lingua Portuguesa, 12, e 206 (sapato
O texto apresentado trata da prisão de um fraudador
que emitia documentos com erros de escrita. Tendo em
vista o assunto, a organização, bem como os recursos
linguísticos, depreende-se que esse texto é um(a)

O conto, porque discute problemas existenciais e sociais
de um fraudador.

O notícia, porque relata fatos que resultaram no
indiciamento de um fraudador.

O crônica, porque narra o imprevisto que levou a polícia
a prender um fraudador.

O editorial, porque opina sobre aspectos linguísticos
dos documentos redigidos por um fraudador.

O piada, porque narra o fato engraçado de um fraudador
descoberto pela polícia por causa de erros de grafia.
","559,4174861907959","808,3550930023193","60,73",0,1
2927,21,LC,112031,A,"2,0",0,,"1,75134","0,0336","0,19179",AMARELA,LINGUAGENS DIGITAL AMARELA,,"0,0",2020,"503,3605098724365",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/112031.png,"ia parte para ajudar
g planeta em que vivemos.

« Economize água, diminuindo o tempo do banho.

« Não use a mangueira parailimpar a calçada.

e Separe o lixo reciclável do não reciclável.

« Não jogue gordura pelo ralo.

« Evite usar o carro para pequenas distâncias.

« Não deixe a torneira pingando.

+ Ao ir ao mercado, leve uma sacola reutilizável.

* Mantenha a torneira fechada ao ensaboar as louças.

Disponível em: wwwhospitaalbertorassi org br. Acesso em: 13 dez, 2017 (adaptado)
Considerando-se os elementos constitutivos do texto, esse anúncio visa resolver um problema
relacionado ao(à)

(8) falta de cuidado com o meio ambiente.

uso indiscriminado de fontes de energia.

escassez de água em diversos pontos do planeta.

carência de medidas de controle de poluição ambiental.

00

ausência de ações de reciclagem de objetos descartáveis.
","566,8656826019287","753,4425258636475","59,59",0,1
2095,26,LC,47604,D,"3,0",0,,"3,23405","-0,16548","0,19344",Amarela,PROVA AMARELA PPL,,"0,0",2019,"483,447790145874",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/47604.png,"Questão 26
Qual a diferença entre publicidade e propaganda?

Esses dois termos não são sinônimos, embora
sejam usados indistintamente no Brasil. Propaganda é
a atividade associada à divulgação de ideias (políticas,
religiosas, partidárias etc.) para influenciar um
“comportamento. Alguns exemplos podem ilustrar, como
o famoso Tio Sam, criado para incentivar jovens a se
alistar no exército dos EUA; ou imagens criadas para
“demonizar” os judeus, espalhadas na Alemanha pelo
e nazista; ou um pôster promovendo o poderio
militar da comunista. No Brasil, um exemplo
regular de propaganda são as campanhas políticas em
período pré-eleitoral.

“Já a publicidade, em sua essência, quer dizer tomar
algo público. Com a Revolução Industrial, a publicidade
ganhou um sentido mais comercial e passou a ser uma
ferramenta de comunicação para convencer o público a
“consumir um produto, serviço ou marca. Anúncios para
venda de carros, bebidas ou roupas são exemplos de
publicidade.

VASCONCELOS, Y Disponível em: htps//mundoestranho abrilcom br.
Acesso em: 22 ago. 2017 (adaptado).
A função sociocomunicativa desse texto é

O ilustrar como uma famosa figura dos EUA foi criada

para incentivar jovens a se alistar no exército.

O explicar como é feita a publicidade na forma de
anúncios para venda de carros, bebidas ou roupas.

O convencer público sobre a importância do consumo.

o

e

esclarecer dois conceitos usados no senso comum.
divulgar atividades associadas à disseminação
de ideias.
","517,7586078643799","618,8147068023682","59,67",0,1
2888,28,LC,111819,C,"4,0",0,,"2,86286","1,44944","0,21361",AMARELA,PROVA AMARELA REGULAR,,"0,0",2020,"644,9429988861084",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111819.png,"Questão 28 [=

Senhor Juiz
O instrumento do “crime” que se arrola
Nesse processo de contravenção
Não é faca, revólver ou pistola,
Simplesmente, doutor, é um violão.

Será crime, afinal, será pecado,
Será delito de tão vis horrores,
Perambular na rua um desgraçado
Derramando nas praças suas dores?
Mande, pois, libertá-lo da agonia

(a consciência assim nos insinua)
Não sufoque o cantar que vem da rua,
Que vem da noite para saudar o di

É o apelo que aqui lhe dirigimos,

Na certeza do seu acolhimento
Juntada desta aos autos nós pedimos
E pedimos, enfim, deferimento.

Dice iongasconte
a 2 O (gn)

Essa petição de habeas corpus, ao transgredir o rigor da

o

o
o
o
o

inguagem jurídi

permite que a narrativa seja objetiva e repleta de
sentidos denotativos.

mostra que o cordel explora termos próprios da esfera
do direito.

demonstra que o jogo de linguagem proposto atenua
a gravidade do delito.

exemplifica como o texto em forma de cordel
compromete a solicitação pretendida.

esclarece que os termos “crime” e “processo de
contravenção” são sinônimos.
","682,5177669525146","796,9610691070557","60,68",0,1
3380,36,LC,120124,C,"9,0",0,,"2,93292","0,03337","0,17638",AMARELA,PROVA AMARELA REGULAR,,"0,0",2022,"503,3390522003174",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/120124.png,"QUESTÃO 36

Pisoteamento, arrastão, empurra-empurra, agressões,
vandalismo e até furto a um torcedor que estava caído no
asfalto após ser atropelado nas imediações do estádio do
Maracaná. As cenas de selvageria tiveram como estopim
a invasão de milhares de torcedores sem ingresso, que
furaram o bloqueio policial e transformaram o estádio
em terra de ninguém. Um reflexo não só do quadro de
insegurança que assola o Rio de Janeiro, mas também
de como a violência social se embrenha pelo esporte
mais popular do país. Em 2017, foram registrados
104 episódios de violência no futebol brasileiro, que
resultaram em 11 mortes de torcedores. Desde 1995,
quando 101. torcedores ficaram feridos e um morreu
durante uma batalha campal no estádio do Pacaembu,
autoridades têm focado as ações de enfrentamento à
violência no futebol em grupos uniformizados, alguns
proibidos de frequentar estádios. Porém, a postura
meramente repressiva contra torcidas organizadas
é ineficaz em uma sociedade que registra mais de
61000 homicídios por ano. “É impossível dissociar
a escalada de violência no futebol do panorama de
desordem pública, social, econômica e política vivida
pelo país”, de acordo com um doutor em sociologia do
esporte.

Dsponivel em hp/brasi eps com Acesso em: 2 jun. 2010 (adaptado

Nesse texto, a violência no futebol está caracterizada
como um(a)

problema social localizado numa região do país.
desafio para as torcidas organizadas dos clubes.
reflexo da precariedade da organização social no
país.

inadequação de espaço nos estádios para receber o
público.

consequência da insatisfação dos clubes com a
organização dos jogos.

v Oo 000
","542,1106815338135","653,3210277557373","58,82",0,1
3204,16,LC,89614,B,"10,0",0,,"3,45079","1,51281","0,12876",AMARELA,PROVA AMARELA PPL,,,2021,"651,282548904419",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/89614.png,"Questão 16
A prática de jogos, esportes, lutas, danças e
ginásticas é considerada, no senso comum, como
Sinônimo de saúde. Essa relação direta de causa e
efeito linear e incondicional é explorada e estimulada
pela indústria cultural, do lazer e da saúde ao reforçar
conceitos e cultivar valores, no mínimo contestáveis, de
dieta, de forma física e de modelos de corpos ideais.
BRASA. Parâmetros Curiculres aciona raca: MEC, 160.
O texto demonstra uma compreensão de saúde baseada na
09 realização de exercícios físicos para uma boa forma.
O complexidade dos diversos fatores para sua
manutenção.
O prática de ginástica como sinônimo de sucesso e
bem-estar.
O superação de limites no esporte como forma de
satisfação e prazer.
alimentação balanceada para o alcance de padrão
corporal hegemônico.
","686,3682270050049","780,4052829742432","56,44",0,1
2080,18,LC,118207,D,"11,0",0,,"1,28486","0,98541","0,11899",Amarela,PROVA AMARELA REGULAR,,"0,0",2019,"598,5419750213623",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/118207.png,"Questão 18
Esporte e cultura: análise acerca da esportivização de práticas corporais nos jogos indígenas

Nos Jogos dos Povos Indígenas, observa-se que as práticas corporais realizadas envolvem elementos
tradicionais (como as pinturas e adomos corporais) e modernos (como a regulamentação, a fiscalização e a
padronização). O arco e flecha e a lança, por exemplo, são instrumentos tradicionalmente utilizados para a caça
e a defesa da comunidade na aldeia. Na ocasião do evento, esses artefatos foram produzidos pela própria etnia,
porém sua estruturação como “modalidade esportiva” promoveu uma semelhança entre as técnicas apresentadas,
com o sentido único da competição.

ALMEIDA, A J. M; SUASSUNA, D. MF.A Pensar a prática, n. 1, janabr 2010 (adaptado)
A relação entre os elementos tradicionais e modernos nos Jogos dos Povos Indígenas desencadeou a
(O padronização de pinturas e adomos corporais.
O sobreposição de elementos tradicionais sobre os modernos.
O individuação das técnicas apresentadas em diferentes modalidades.
O legitimação das práticas corporais indígenas como modalidade esportiva.
Q preservação dos significados próprios das práticas corporais em cada cultura.

","693,9022541046143","946,2110996246338","55,95",0,1
2117,37,LC,63561,A,"12,0",0,,"4,43539","0,87957","0,1725",Amarela,PROVA AMARELA PPL,,"0,0",2019,"587,9514217376709",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63561.png,"Questão 37

Em suas produções, nem o olho nem o ouvido
são capazes de encontrar um ponto fixo no qual se
“concentrarem. O espectador das peças de Foreman é
bombardeado por uma multiplicidade de eventos visuais
e auditivos. No nível visual, há continuas mudanças
da forma geométrica do palco, mesmo dentro de um
ato. A iluminação também muda continuamente; suas
transformações podem ocorrer com lentidão ou ray
e podem afetar o palco e a plateia: os espectadores
podem de súbito se ver banhados de luz quando os
canhões são voltados para eles sem aviso. Quanto
ao som, tudo é gravado: buzinas de carros, sirenes,
apitos, trechos de jazz, bem como o próprio diálogo.
O roteiro é fragmentado, composto de frases curtas,
aforísticas, desconectadas.

DURAND, R. in: CONNOR, S. Cultura pós-moderna: introdução às.
teorias do contemporâneo. São Paulo: Loyola, 1992 (adaptado)

A descrição, que referencia o Teatro Ontológico-
-Histérico do dramaturgo estadunidense Richard Foreman,
representa uma forma de fazer teatro marcada pela.

subversão aos elementos tradicionais da narrativa
teatral

visão idealizada do mundo na construção de uma
narrativa onírica.

representação da vida real, aproximando-se de uma
verdade histórica.

adaptação aos novos valores da burguesia
frequentadora de espaços teatrais.

valorização espetacular do ideal humano, retomando
o princípio do Classicismo grego.
","613,7363910675049","687,2408390045166","58,62",0,1
690,126,LC,25869,C,"13,0",0,,"3,2875","1,17635","0,16679",Cinza,PROVA CINZA PPL,,"0,0",2015,"617,6369190216064",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/25869.png,"QUESTÃO 126

Em 1866, tendo encerrado seus estudos na Escola
de Belas Artes, em Paris, Pedro Américo ofereceu a tela
A Carioca ao imperador Pedro Il, em reconhecimento ao
seu mecenas. O nu feminino obedecia aos cânones da
grande arte e pretendia ser uma alegoria feminina da
nacionalidade. A tela, entretanto, foi recusada por imoral e
licenciosa: mesmo não fugindo à regra oitocentista relativa
à nudez na obra de arte, A Carioca não pôde, portanto,
ser absorvida de imediato. A sensualidade tangível da
figura feminina, próxima do orientalismo tão em voga
na Europa, confrontou-se não somente com os limites
morais, mas também com a orientação estética e cultural
do Império. O que chocara mais: a nudez frontal ou um nu.
tão descolado do que se desejava como nudez nacional
vel, por exemplo, aquela das românticas figuras
indígenas? A Carioca oferecia um corpo simultaneamente
ideal e obsceno: o alto — uma beleza imaterial — e o
baixo — uma carnalidade excessiva. Sugeria uma mistura
de estilos que, sem romper com a regra do decoro
artístico, insinuava na tela algo inadequado ao repertório
simbólico oficial. A exótica morena, que não é índia — nem
mulata ou negra — poderia representar uma visualidade
feminina brasileira e desfrutar de um lugar de destaque no
imaginário da nossa “monarquia tropical”?

OLIVEIRA, isponelem: papo Aceso em: 20 mao 206

O texto revela que a aceitação da representação do belo
na obra de arte está condicionada à

O incorporação de grandes correntes teóricas de uma
época, conferindo legitimidade ao trabalho do artista

O atemporalidade do tema abordado pelo artista,
garantindo perenidade ao objeto de arte então
elaborado.

O inserção da produção artística em um projeto estético
e ideológico determinado por fatores extemos.

O apropriação que o pintor faz dos grandes temas
universais já recorrentes em uma vertente artística.
assimilação de técnicas e recursos já utilizados por]
movimentos anteriores que trataram da temática.
","652,6916027069092","751,7974376678467","58,34",0,1
1663,50,LC,30995,C,"14,0",0,,"1,09319","3,12888","0,23786",AMARELA,PROVA AMARELA REGULAR,,"0,0",2017,"812,873125076294",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/30995.png,"QUESTÃO 45

VALENTIM, R. Emblema 78. Acrílico sobre tela. 73 x 100 cm. 1978.

Disponível em: wi espacoare com br Acesso em 2 ago 2012.

A obra de Rubem Valentim apresenta emblemas que,
baseando-se em signos de religiões afro-brasileiras, se
transformam em produção artística. A obra Emblema 76
relaciona-se com o Modemismo em virtude da

simplificação de formas da paisagem brasileira
valorização de símbolos do processo de urbanização.

fusão de elementos da cultura brasileira com a arte
europeia.

alusão aos simbolos cívicos presentes na bandeira
nacional

composição simétrica de elementos relativos à
miscigenação racial

","907,4227809906006","1208,092451095581","61,89",0,1
