,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
2393,175,MT,59845,D,"1,0",0,,"2,1922","1,42767","0,18183",Cinza,PROVA CINZA PPL,,"0,0",2019,"642,7638530731201",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/59845.png,"Questão 175

Um asteroide batizado de 2013-TV135 passou
a aproximadamente 6,7 x 109 quilômetros da Terra.
A presença do objeto espacial nas proximidades
da Terra foi detectada por astrônomos ucranianos,
que alertaram para uma possível volta do asteroide
em 2032.

Disponível em: wa folha uol com br Acesso em: 30 out 2013
O valor posicional do algarismo 7, presente na notação
científica da distância, em quilômetro, entre o asteroide
ea Terra, corresponde a

O 7 décimos de quilômetro.
O 7 centenas de quilômetros.
O 7 dezenas de milhar de quilômetros.

","694,2431926727295","843,1212902069092","59,09",0,1
3442,159,MT,85013,B,"2,0",0,,"2,17147","2,5423","0,1841",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"754,2197704315186",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85013.png,"QUESTÃO 159
Um atleta iniciou seu treinamento visando as competições de fim de ano. Seu treinamento consiste em cinco tipos
diferentes de treinos: treino T., treino T, treino T,, treino T, e treino T, A sequência dos treinamentos deve seguir esta ordem:
Dia 1 2 3º 4º 5º 68 7º 8 9º 1º 1º 12º 13º
Treino To RR T R ROOT ROOT RÕ RÃT R
A letra R significa repouso. Após completar a sequência de treinamentos, o atleta começa novamente a sequência a
partir do treino T, e segue a ordem descrita. Após 24 semanas completas de treinamento, se dará o início das competições.

A sequência de treinamentos que o atleta realizará na 243 semana de treinos é
OTRLRRTR
ORLRIRRT.
O RIRRIRT,.
ORRIRIRR
ORIRIRRT.

","806,0281276702881","956,3677310943604","59,2",0,1
1301,1,MT,17291,B,"3,0",0,,"1,50418","1,51711","0,14864",CINZA,PROVA CINZA PPL,,"0,0",2017,"651,7045497894287",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/17291.png,"QUESTÃO 136

Em certa loja de roupas, o lucro na venda de uma
camiseta é de 25% do preço de custo da camiseta pago
pela loja. Já o lucro na venda de uma bermuda é de
30% do preço de custo da bermuda, e na venda de uma
calça o lucro é de 20% sobre o preço de custo da calça.
Um cliente comprou nessa loja duas camisetas, cujo preço
de custo foi R$ 40,00 cada uma, uma bermuda que teve
preço de custo de R$ 60,00 e duas calças, ambas com
mesmo preço de custo. Sabe-se que, com essa compra,
o cliente proporcionou um lucro de R$ 78,00 para a loja.

Considerando essas informações, qual foi o preço de
custo, em real, pago por uma calça?

90

100

125

195

200

VOVoOo
","730,2086353302002","946,385145187378","57,43",0,1
3256,170,MT,96222,E,"4,0",0,,"2,05592","2,38315","0,1479",CINZA,PROVA CINZA REGULAR,,,2021,"738,3267879486084",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/96222.png,"Questão 170

Uma construtora, pretendendo investir na construção
de imóveis em uma metrópole com cinco grandes
regiões, fez uma pesquisa sobre a quantidade de famílias
que mudaram de uma região para outra, de modo a
determinar qual região foi o destino do maior fluxo de
famílias, sem levar em consideração o número de famílias.
que deixaram a região. Os valores da pesquisa estão
dispostos em uma matriz A=[aj) 1.) €(1,2,3,4,5h
em que o elemento aj corresponde ao total de famílias
(em dezena) que se mudaram da região i para a região j
durante um certo período, e o elemento a;;é considerado
nulo, uma vez que somente são consideradas mudanças
entre regiões distintas. A seguir, está apresentada a
matriz com os dados da pesquisa.

042

enemacar

o
A=|2
1
1

so wnn

5
3
o
4
o

nono
onoco

Qual região foi selecionada para o investimento da
construtora?

voos
a son
","795,8023548126221","953,9525508880616","57,4",0,1
1245,156,MT,38587,A,"5,0",0,,"0,88468","1,19981","0,2034",CINZA,PROVA CINZA PPL,,"0,0",2016,"619,9805736541748",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/38587.png,"QUESTÃO 156

O gerente de um estacionamento, próximo a um
grande aeroporto, sabe que um passageiro que utliza
seu carro nos traslado casa-aeroporto-casa gasta cerca
de R$ 10,00 em combustível nesse trajeto. Ele sabe,
também, que um passageiro que não utiliza seu carro nos
traslados casa-aeroporto-casa gasta cerca de R$ 80,00
com transporte.

Suponhaque os passageiros queutilizam seuspróprios.
veículos deixem seus carros nesse estacionamento por
um período de dois dias.

Para tomar atrativo a esses passageiros o uso do
estacionamento, o valor, em real, cobrado por dia de
estacionamento deve ser, no máximo, de

O 3500

O 4000

e 4500

O 7000

e 9000

","743,5195446014404","1113,3949756622314","60,17",0,1
2564,136,MT,44700,C,"6,0",0,,"3,39554","1,95733","0,10814",CINZA,PROVA CINZA PPL,,"0,0",2020,"695,7380771636963",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/44700.png,"Questão 136 DIEnAmanonenamononenamononenamononenar anemononenamononenam
Uma formiga move-se sobre um castiçal de vidro transparente, do ponto À para B em linha reta, percorre o arco

circular BCD, sendo C localizado na parte da frente do castiçal, e desce o arco DE, como representado na figura.

erga
Os pontos A, 8, D e E estão sobre um mesmo plano perpendicular à mesa sobre a qual se encontra o castiçal

A projeção ortogonal, sobre o plano da mesa, do trajeto percorrido pela formiga, do ponto A até o ponto E, é melhor

representada por

8 co
o E
In
8 2
T
º E
4
8 Ep

","732,2828769683838","827,6550769805908","55,41",0,1
3428,173,MT,5961,D,"7,0",0,,"0,9032","2,45135","0,1617",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"745,1074123382568",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/5961.png,"QUESTÃO 173

Dentre as diversas planificações possíveis para o
cubo, uma delas é a que se encontra apresentada na
Figura 1.

Figura 1

Em um cubo, foram pintados, em três de suas faces,
quadrados de cor cinza escura, que ocupam um quarto
dessas faces, tendo esses três quadrados um vértice em
comum, conforme ilustrado na Figura 2.

A A

Figura 2

A planificação do cubo da Figura 2, conforme o tipo de
planificação apresentada na Figura 1, é

EEE
o
La
EEE
o |
EEE
o
LE |
ELE
o
""|
ELE
o
m

","873,6221790313721","1234,1516017913818","58,08",0,1
1509,27,MT,40623,E,"8,0",0,,"2,11776","1,49537","0,13856",CINZA,PROVA CINZA PPL,,"0,0",2017,"649,5420932769775",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/40623.png,"QUESTÃO 162

A figura traz o esboço da planta baixa de uma
residência. Algumas medidas intemas dos cômodos
estão indicadas. A espessura de cada parede externa da
casa é 0,20 m e das paredes internas, 0,10 m.

Sabe-se que, na localidade onde se encontra esse
imóvel, o Imposto Predial Territorial Urbano (IPTU) é
calculado conforme a área construída da residência.
Nesse cálculo, são cobrados R$ 4,00 por cada metro
quadrado de área construída.

O valor do IPTU desse imóvel, em real, é

O 250,00.
O 250,80.
O 258,64.
O 276,48.
e 286,00.
","706,0163021087646","859,3981266021729","56,93",0,1
3454,147,MT,63204,E,"9,0",0,,"3,78296","1,88956","0,14444",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"688,9526844024658",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63204.png,"QUESTÃO 147

Uma loja comercializa cinco modelos de
caixas-dágua (1, Il, Il, IV e V), todos em formato
de cilindro reto de base circular. Os modelos Il, ll, IV e V
têm as especificações de suas dimensões dadas em
relação às dimensões do modelo |, cuja profundidade é P
e área da base é A,, como segue:

+ modelo Il: o dobro da profundidade e a metade da
área da base do modelo |;

+ modelo III: o dobro da profundidade e a metade do
raio da base do modelo |;

+ modelo IV: a metade da profundidade e o dobro da
área da base do modelo |;

+ modelo V: a metade da profundidade e o dobro do
raio da base do modelo |.

Uma pessoa pretende comprar nessa loja o modelo
de caixadágua que ofereça a maior capacidade
volumétrica.

O modelo escolhido deve ser o
","720,3381061553955","806,2570095062256","57,22",0,1
421,137,MT,41058,E,"10,0",0,,"1,28222","1,73128","0,1263",Cinza,PROVA CINZA REGULAR,,,2014,"673,1455326080322",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41058.png,"QUESTÃO 137

A maior piscina do mundo, registrada no livro Guiness,
está localizada no Chile, em San Alfonso del Mar, cobrindo
um terreno de 8 hectares de área.

Sabe-se que 1 hectare corresponde a 1 hectômetro
quadrado,

Qual é o valor, em metros quadrados, da área coberta
pelo terreno da piscina?

os

os

o s00

O 8000

€ 20000
","767,8430080413818","1020,855188369751","56,32",0,1
