,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
1900,113,CN,85474,A,"1,0",0,,"1,50003","0,83271","0,257",Cinza,PROVA CINZA PPL,,"0,0",2018,"583,2712650299072",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85474.png,"QUESTÃO 113

O princípio básico de produção de imagens em
equipamentos de ultrassonografia é a produção de ecos.
O princípio pulso-eco refere-se à emissão de um pulso
curto de ultrassom que atravessa os tecidos do corpo.
No processo de interação entre o som e órgãos ou
tecidos, uma das grandezas relevantes é a impedância
acústica, relacionada à resistência do meio à passagem
do som, definida pelo produto da densidade (p) do
material pela velocidade (v) do som nesse meio. Quanto
maior a diferença de impedância acústica entre duas
estruturas, maior será a intensidade de reflexão do pulso
e mais facilmente será possível diferenciá-las. A tabela
mostra os diferentes valores de densidade e velocidade
para alguns órgãos ou tecidos.

Cérebro 1020 1530
Músculo 1040 1580
Gordura 920 1450

Osso 1900 4040

CAVALCANTE N.A: PEÇANHA, R: LEITE, VE Ponciis básicos de impera

resônias ade eminção de vedada do som o ar aivês do eco.
Eliana Escola 1.1. 012 (acao)

Em uma imagem de ultrassom, as estruturas mais

facilmente diferenciáveis são

O ossoegordura.

O cérebro e osso.

O gordura e cérebro.

O músculo e cérebro.

O gordura e músculo.
","649,8568058013916","869,5690631866455","62,85",0,1
1932,129,CN,111456,B,"2,0",0,,"0,92339","1,76478","0,08431",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"676,5000820159912",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111456.png,"QUESTÃO 129

Pesquisas demonstram que nanodispositivos baseados em movimentos de dimensões atômicas, induzidos por
luz, poderão ter aplicações em tecnologias futuras, substituindo micromotores, sem a necessidade de componentes
mecânicos. Exemplo de movimento molecular induzido pela luz pode ser observado pela flexão de uma lâmina delgada
de silício, ligado a um polimero de azobenzeno e a um material suporte, em dois comprimentos de onda, conforme

ilustrado na figura. Com a aplicação de luz ocorrem reações reversíveis da cadeia do polímero, que promovem o
movimento observado.

Átomos:
o Hidrogênio
365 nm O Carbono
—a
O Nitrogênio
= —
420nm

TOMA HE Ananda relés Quimica Mova na Escola, n.2. mo 2005 (gado,
O fenômeno de movimento molecular, promovido pela incidência de luz, decorre do(a)

movimento vibracional dos átomos, que leva ao encurtamento e à relaxação das ligações.

isomerização das ligações N=N, sendo a forma cis do polímero mais compacta que a trans.

tautomerização das unidades monoméricas do polimero, que leva a um composto mais compacto.

ressonância entre os elétrons 7 do grupo azo e os do anel aromático que encurta as ligações duplas.

variação conformacional das ligações N=N, que resulta em estruturas com diferentes áreas de superfície.
","814,5492076873779","1164,4737720489502","54,22",0,1
1151,109,CN,20029,D,"3,0",0,,"2,01704","1,53564","0,12247",AMARELA,PROVA AMARELA PPL,,"0,0",2016,"653,5570621490479",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/20029.png,"QUESTÃO 64

Nos dias frios, é comum ouvir expressões como:
Esta roupa é quentinha” ou então “Feche a janela
para o frio não entrar”. As expressões do senso comum
utilizadas estão em desacordo com o conceito de calor da
termodinâmica. A roupa não é “quentinha”, muito menos
o frio “entra” pela janela.

Autilização das expressões “roupa é quentinha” e “para o
frio não entrar é inadequada, pois o(a)

O roupa absorve a temperatura do corpo da pessoa, e
o frio não entra pela janela, o calor é que sai por ela.

O roupa não fomece calor por ser um isolante térmico,
eorio não entra pela janela, pois é a temperatura da
sala que sai por ela

O roupa não é uma fonte de temperatura, e o frio não
pode entrar pela janela, pois o calor está contido na
sala, logo o calor é que sai por ela.

O calor não está contido num corpo, sendo uma
forma de energia em trânsito de um corpo de maior
temperatura para outro de menor temperatura.

O calor está contido no corpo da pessoa, e não na
roupa, sendo uma forma de temperatura em trânsito
de um corpo mais quente para um corpo mais frio.
","714,0557765960693","874,830961227417","56,12",0,1
3653,133,CN,85952,E,"4,0",0,,"2,20432","0,14133","0,21042",CINZA,PROVA CINZA PPL,,"0,0",2022,"514,1298770904541",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85952.png,"QUESTÃO 133

Aalteração de hábitats é uma causa bem documentada
no que tange à redução de populações de anfíbios no
mundo. Uma pesquisa feita em um remanescente da
Floresta de Araucária, no município de Fazenda Rio Grande
(PR), revelou que cerca de 40% das espécies de anfíbios
anuros daquela região estão associadas à mata estudada,
distrbuindo-se desde o seu interior até o entomo.

ROSSAFERES, D.C: CONTE, CE Rev Bras. de Zoologia,
1.4, dez 2007 (adaptado)

Qual é a proposta adequada para a conservação da
diversidade biológica dos anuros na região citada?

O Reforestar com eucaliptos, por crescerem
rapidamente.

O Modificar geneticamente as espécies de anuros
nativas.

O Soltar anuros criados em cativeiro no fragmento
florestal

O Introduzir novas espécies de árvores no fragmento
florestal

O Acabar com o desmatamento do remanescente de

Floresta de Araucária.
","563,1773471832275","711,7526531219482","60,52",0,1
3033,121,CN,117821,A,"5,0",0,,"3,35083","1,31768","0,16812",CINZA,PROVA CINZA PPL,,,2021,"631,7727565765381",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117821.png,"Questão 121 enem

Baterias são dispositivos que acumulam energiae estão
presentes em inúmeros aparelhos portáteis. Uma bateria
ideal não possui resistência interna. Entretanto, baterias
reais apresentam resistência interna disponibilizando uma
tensão efetiva V inferior à sua tensão nominal £, conforme.
a figura. Uma vez que se sabe o valor da tensão nominal
da bateria, determina-se sua carga pelo conhecimento
da corrente | enquanto está conectada a um circuito de
resistência R, de tensão efetiva V, e da resistência intema
rda bateria.

De posse de um voltimetro ()), de um amperimetro (3) e
de uma resistênciateste À, a configuração adequada fara
avaliar a carga da batera é:

R

","666,100263595581","763,3464336395264","58,41",0,1
2876,109,CN,111722,D,"6,0",0,,"1,64715","0,84954","0,17537",CINZA,PROVA CINZA REGULAR,,"0,0",2020,"584,9592685699463",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111722.png,"Questão 109 7

Para garantir que produtos eletrônicos estejam
armazenados de forma adequada antes da venda,
algumas empresas utilizam cartões indicadores de
umidade nas embalagens desses produtos. Alguns
desses cartões contêm um sal de cobalto que
muda de cor em presença de água, de acordo com
a equação química:

CoCL (5) + 6 H,0 (9) = CoCI,-6HO (8) AH <0
(azul) (rosa)

Como você procederia para reutilizar, num curto
intervalo de tempo, um cartão que já estivesse com a
coloração rosa?

(O Resfriaria no congelador.

O Bormifaria com spray de água.

O Envolveria com papel alumínio.

O Aqueceria com secador de cabelos.

(O Embrulharia em guardanapo de papel.
","654,0935039520264","852,09059715271","58,77",0,1
1505,27,CN,29460,D,"7,0",0,,"4,15611","1,606","0,17345",CINZA,PROVA CINZA REGULAR,,"0,0",2017,"660,597562789917",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/29460.png,"QUESTÃO 117

A toxicidade de algumas substâncias é normalmente
representada por um índice conhecido como DL, (dose
letal mediana). Ele representa a dosagem aplicada a
uma população de seres vivos que mata 50% desses
indivíduos e é normalmente medido utilizando-se ratos
como cobaias. Esse índice é muito importante para
os seres humanos, pois ao se extrapolar os dados
obtidos com o uso de cobaias, pode-se determinar o
nível tolerável de contaminação de alimentos, para que
possam ser consumidos de forma segura pelas pessoas.
O quadro apresenta três pesticidas e suas toxicidades.
A unidade mg/kg indica a massa da substância ingerida
pela massa da cobaia.

Pesticidas DL, (mglkg)

Diazinon 70
Malation 1000
Atrazina 3100

Sessenta ratos, com massa de 200 g cada, foram
divididos em três grupos de vinte. Três amostras de ração,
contaminadas, cada uma delas com um dos pesticidas
indicados no quadro, na concentração de 3 mg por
grama de ração, foram administradas para cada grupo de
cobaias. Cada rato consumiu 100 g de ração.

Qual(ais) grupo(s) terá(ão) uma mortalidade mínima de
10 ratos?

O grupo que se contaminou somente com atrazina.

O grupo que se contaminou somente com diazinon.
Os grupos que se contaminaram com atrazina e
malation.

Os grupos que se contaminaram com diazinon e
malation.

Nenhum dos grupos contaminados com atrazina,
diazinon e malation.

o o 0060
","688,0753040313721","766,5293216705322","58,67",0,1
2297,127,CN,17094,E,"8,0",0,,"3,67404","0,90699","0,15574",Cinza,PROVA CINZA PPL,,"0,0",2019,"590,7027721405029",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/17094.png,"Questão 127

Em regiões desérticas, a obtenção de água potável
não pode depender apenas da precipitação. Nesse
sentido, portanto, sistemas para dessalinização da água
do mar têm sido uma solução. Alguns desses sistemas
consistem basicamente de duas câmaras (uma contendo
“água doce e outra contendo água salgada) separadas
por uma membrana semipermeável. Aplicando-se
pressão na câmara com água salgada, a água pura é
forçada a passar através da membrana para a câmara
contendo água doce.

O processo descrito para a purificação da água
é denominado

filtração.
adsorção.
destilação.
troca iônica.

osmose reversa
","622,5388050079346","711,111307144165","57,79",0,1
2580,122,CN,49247,C,"9,0",0,,"3,03606","0,13334","0,16191",CINZA,PROVA CINZA PPL,,"0,0",2020,"513,3407115936279",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/49247.png,"Questão 122 Ena nar Ena

O Protocolo de Montreal é um tratado internacional
que diz respeito à defesa do meio ambiente. Uma de suas.
recomendações é a redução da utilização de substâncias
propelentes, como os CFCs (Cloro-Flúor-Carbono), em
aerossóis e aparelhos de refrigeração.

O evitara chuva ácida.
O prevenir a inversão térmi

O preservar a camada de ozônio.
o

e

controlar o aquecimento global.
impedir a formação de ilhas de calor.
","551,5472888946533","658,8022708892822","58,1",0,1
2419,112,CN,10251,E,"10,0",0,,"3,16089","0,9628","0,11523",AMARELA,NATUREZA DIGITAL AMARELA,,"0,0",2020,"596,2769985198975",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/10251.png,"Metais são contaminantes encontrados em efluentes oriundos de diversas atividades
antrópicas. Dentre esses, o mercúrio (Hg) é aquele que apresenta a maior toxicidade e o único
metal que reconhecidamente causou óbitos em humanos em razão de contaminação pela via
ambiental, particularmente pela ingestão de organismos aquáticos contaminados. Considere

mais altas nos produtores do que nos decompositores.

iguais para todos nos diferentes níveis tróficos da cadeia alimentar.

mais altas nos consumidores primários do que nos consumidores de maior ordem.

O)
(O)
(9 mais baixas nos consumidores secundários e tercários do que nos produtores.
o
O)

mais baixas nos de nv

is tróficos de menor ordem do que nos de níveis tróficos mais
","635,2179050445557","737,7402782440186","55,76",0,1
